matchID,seriesID,seriesName,matchDescription,matchFormat,startDate,endDate,state,status,teamID,teamName,team1Name,team1imageID,team2teamId,team2Name,team2Name,team2imageId,venueInfoid,venueInfoground,city,timezone,latitude,longitude,currBatTeamId,seriesStartDt,seriesEndDt,isTimeAnnounced,stateTitle,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inngs2inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs1inningsId,inngs1runs,inngs1wickets,inngs1overs,inningsId,inngs2runs,inngs2wickets,inngs2overs,inngs2isDeclared,inngs1isDeclared,inngs2isFollowOn,inngs1isDeclared
88368.0,7511.0,ACC Mens T20I Challenger Cup 2024,"11th Match, Group B",T20,1707186600000,1707199200000,Complete,Singapore won by 34 runs,190.0,Singapore,SIN,172250.0,547.0,Japan,JPN,248418.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,190.0,1706313600000,1707782400000,True,SIN Won,1.0,176.0,5.0,19.6,,,,,2.0,142.0,8.0,19.6,,,,,,,,
88361.0,7511.0,ACC Mens T20I Challenger Cup 2024,"10th Match, Group A",T20,1707114600000,1707127200000,Complete,Cambodia won by 10 runs,1447.0,Cambodia,CBD,254834.0,555.0,Bhutan,BTN,172607.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,1447.0,1706313600000,1707782400000,True,CBD Won,1.0,174.0,6.0,19.6,,,,,2.0,164.0,6.0,19.6,,,,,,,,
88354.0,7511.0,ACC Mens T20I Challenger Cup 2024,"9th Match, Group A",T20,1707100200000,1707112800000,Complete,Saudi Arabia won by 82 runs,571.0,Saudi Arabia,SAU,172623.0,566.0,Indonesia,IDN,172618.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,571.0,1706313600000,1707782400000,True,SAU Won,1.0,185.0,4.0,19.6,,,,,2.0,103.0,9.0,19.6,,,,,,,,
88347.0,7511.0,ACC Mens T20I Challenger Cup 2024,"8th Match, Group B",T20,1707028200000,1707040800000,Complete,Japan won by 42 runs,547.0,Japan,JPN,248418.0,563.0,Maldives,MDV,172615.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,547.0,1706313600000,1707782400000,True,JPN Won,1.0,150.0,8.0,19.6,,,,,2.0,108.0,10.0,18.4,,,,,,,,
88340.0,7511.0,ACC Mens T20I Challenger Cup 2024,"7th Match, Group B",T20,1707013800000,1707026400000,Complete,Thailand won by 7 wkts,190.0,Singapore,SIN,172250.0,384.0,Thailand,THAI,172437.0,474.0,Terdthai Cricket Ground,Bangkok,+07:00,13.756331,100.501765,384.0,1706313600000,1707782400000,True,THAI Won,1.0,115.0,9.0,19.6,,,,,2.0,116.0,3.0,18.1,,,,,,,,
89070.0,7558.0,East Asia Cup 2024,Final,T20,1708149600000,1708162200000,Complete,Hong Kong won by 34 runs,8.0,Hong Kong,HK,172122.0,547.0,Japan,JPN,248418.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,8.0,1707868800000,1708300800000,True,HK Won,1.0,219.0,7.0,19.6,,,,,2.0,185.0,8.0,19.6,,,,,,,,
89066.0,7558.0,East Asia Cup 2024,6th Match,T20,1708063200000,1708075800000,Complete,Japan won by 44 runs,547.0,Japan,JPN,248418.0,524.0,China,CHN,172574.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,547.0,1707868800000,1708300800000,True,JPN Won,1.0,143.0,10.0,19.3,,,,,2.0,99.0,8.0,19.6,,,,,,,,
89063.0,7558.0,East Asia Cup 2024,5th Match,T20,1708047000000,1708059600000,Complete,Hong Kong won by 10 wkts,524.0,China,CHN,172574.0,8.0,Hong Kong,HK,172122.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,8.0,1707868800000,1708300800000,True,HK Won,1.0,41.0,10.0,12.4,,,,,2.0,42.0,,4.6,,,,,,,,
89056.0,7558.0,East Asia Cup 2024,4th Match,T20,1707976800000,1707989400000,Complete,Hong Kong won by 27 runs,8.0,Hong Kong,HK,172122.0,547.0,Japan,JPN,248418.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,8.0,1707868800000,1708300800000,True,HK Won,1.0,155.0,10.0,19.4,,,,,2.0,128.0,10.0,18.5,,,,,,,,
89052.0,7558.0,East Asia Cup 2024,3rd Match,T20,1707960600000,1707973200000,Complete,Japan won by 180 runs,547.0,Japan,JPN,248418.0,524.0,China,CHN,172574.0,454.0,Mission Road Ground,Mong Kok,+08:00,22.323286,114.1828583,547.0,1707868800000,1708300800000,True,JPN Won,1.0,258.0,,19.6,,,,,2.0,78.0,10.0,16.5,,,,,,,,
